,Per_capita_personal_income_ 2019,Per_capita_personal_income_ 2020,Per_capita_personal_income_ 2021,Rank in United States 2021,Percent change,,Rank in United States 2021
United States,"56,250","59,765","64,143",--,6.2,7.3,--
Metropolitan portion,"58,347","61,866","66,392",--,6,7.3,--
Nonmetropolitan portion,"43,075","46,495","49,962",--,7.9,7.5,--
"Abilene, TX","45,676","49,210","55,556",170,7.7,12.9,2
"Akron, OH","51,827","55,232","58,735",115,6.6,6.3,244
"Albany, GA","38,118","42,006","45,619",346,10.2,8.6,52
"Albany-Lebanon, OR","44,501","48,357","52,695",226,8.7,9,35
"Albany-Schenectady-Troy, NY","59,477","63,951","67,788",44,7.5,6,292
"Albuquerque, NM","44,884","48,514","52,263",235,8.1,7.7,112
"Alexandria, LA","44,057","48,326","51,738",245,9.7,7.1,164
"Allentown-Bethlehem-Easton, PA-NJ","55,269","58,454","62,618",81,5.8,7.1,160
"Altoona, PA","47,034","51,007","54,470",188,8.4,6.8,185
"Amarillo, TX","49,109","52,617","56,248",158,7.1,6.9,177
"Ames, IA","44,630","46,787","49,320",288,4.8,5.4,343
"Anchorage, AK","62,824","64,367","67,085",46,2.5,4.2,380
"Ann Arbor, MI","61,447","64,636","68,688",40,5.2,6.3,254
"Anniston-Oxford, AL","36,869","39,546","42,621",374,7.3,7.8,105
"Appleton, WI","52,516","55,177","58,312",124,5.1,5.7,319
"Asheville, NC","48,247","50,891","54,827",182,5.5,7.7,111
"Athens-Clarke County, GA","42,765","45,046","48,323",307,5.3,7.3,147
"Atlanta-Sandy Springs-Alpharetta, GA","56,120","58,963","63,219",77,5.1,7.2,152
"Atlantic City-Hammonton, NJ","50,196","55,273","58,310",125,10.1,5.5,339
"Auburn-Opelika, AL","39,355","41,760","45,002",357,6.1,7.8,109
"Augusta-Richmond County, GA-SC","43,905","46,875","49,432",285,6.8,5.5,341
"Austin-Round Rock-Georgetown, TX","63,466","64,916","71,372",31,2.3,9.9,18
"Bakersfield, CA","39,477","44,063","45,961",344,11.6,4.3,378
"Baltimore-Columbia-Towson, MD","62,379","66,328","70,490",33,6.3,6.3,253
"Bangor, ME","43,086","47,574","50,480",269,10.4,6.1,281
"Barnstable Town, MA","74,107","79,136","83,191",13,6.8,5.1,357
"Baton Rouge, LA","49,639","53,102","56,396",155,7,6.2,267
"Battle Creek, MI","40,497","44,796","47,789",315,10.6,6.7,199
"Bay City, MI","43,230","47,430","50,396",272,9.7,6.3,257
"Beaumont-Port Arthur, TX","44,816","46,711","49,006",296,4.2,4.9,361
"Beckley, WV","41,334","42,783","46,166",343,3.5,7.9,92
"Bellingham, WA","51,683","54,927","58,137",131,6.3,5.8,303
"Bend, OR","58,666","63,872","67,743",45,8.9,6.1,286
"Billings, MT","53,437","56,515","59,698",108,5.8,5.6,323
"Binghamton, NY","44,318","48,318","51,295",253,9,6.2,272
"Birmingham-Hoover, AL","52,310","55,086","59,107",112,5.3,7.3,145
"Bismarck, ND","58,252","60,766","64,134",71,4.3,5.5,336
"Blacksburg-Christiansburg, VA","38,907","41,322","44,904",359,6.2,8.7,47
"Bloomington, IL","50,152","55,203","58,503",119,10.1,6,294
"Bloomington, IN","45,426","48,386","51,899",243,6.5,7.3,149
"Bloomsburg-Berwick, PA","46,588","50,436","53,309",210,8.3,5.7,317
"Boise City, ID","48,396","52,174","55,487",171,7.8,6.3,243
"Boston-Cambridge-Newton, MA-NH","81,126","86,239","92,290",7,6.3,7,168
"Boulder, CO","79,698","83,173","89,593",9,4.4,7.7,113
"Bowling Green, KY","37,772","40,610","43,282",372,7.5,6.6,214
"Bremerton-Silverdale-Port Orchard, WA","58,290","62,308","67,845",43,6.9,8.9,40
"Bridgeport-Stamford-Norwalk, CT","116,996","119,366","127,391",2,2,6.7,194
"Brownsville-Harlingen, TX","30,361","34,040","37,861",383,12.1,11.2,8
"Brunswick, GA","44,776","48,311","51,400",251,7.9,6.4,238
"Buffalo-Cheektowaga, NY","49,961","54,462","56,808",147,9,4.3,377
"Burlington, NC","41,493","44,418","48,118",310,7,8.3,66
"Burlington-South Burlington, VT","59,027","62,379","65,083",60,5.7,4.3,376
"California-Lexington Park, MD","58,853","61,874","65,762",56,5.1,6.3,252
"Canton-Massillon, OH","45,591","48,932","52,152",237,7.3,6.6,213
"Cape Coral-Fort Myers, FL","56,549","59,300","62,885",80,4.9,6,288
"Cape Girardeau, MO-IL","42,998","45,994","48,447",306,7,5.3,351
"Carbondale-Marion, IL","42,199","45,463","48,769",301,7.7,7.3,148
"Carson City, NV","50,973","55,239","60,445",101,8.4,9.4,27
"Casper, WY","69,791","67,229","70,175",34,-3.7,4.4,372
"Cedar Rapids, IA","52,697","55,865","59,063",113,6,5.7,314
"Chambersburg-Waynesboro, PA","48,017","51,665","55,139",177,7.6,6.7,193
"Champaign-Urbana, IL","47,211","51,362","55,335",173,8.8,7.7,110
"Charleston, WV","45,195","48,229","51,638",249,6.7,7.1,163
"Charleston-North Charleston, SC","55,099","56,887","60,754",98,3.2,6.8,184
"Charlotte-Concord-Gastonia, NC-SC","54,809","57,713","62,056",83,5.3,7.5,123
"Charlottesville, VA","69,409","72,025","77,070",18,3.8,7,170
"Chattanooga, TN-GA","48,210","50,566","53,906",196,4.9,6.6,210
"Cheyenne, WY","53,181","54,959","58,646",116,3.3,6.7,196
"Chicago-Naperville-Elgin, IL-IN-WI","63,024","66,474","71,992",26,5.5,8.3,67
"Chico, CA","46,174","51,402","54,694",184,11.3,6.4,236
"Cincinnati, OH-KY-IN","56,152","59,502","63,116",78,6,6.1,285
"Clarksville, TN-KY","41,503","44,572","47,519",320,7.4,6.6,206
"Cleveland, TN","39,329","42,279","45,404",349,7.5,7.4,135
"Cleveland-Elyria, OH","54,867","58,215","61,948",86,6.1,6.4,235
"Coeur d'Alene, ID","47,745","51,109","54,406",191,7,6.5,226
"College Station-Bryan, TX","42,228","44,358","47,803",314,5,7.8,107
"Colorado Springs, CO","51,113","54,817","58,736",114,7.2,7.1,156
"Columbia, MO","48,068","50,767","53,583",205,5.6,5.5,335
"Columbia, SC","47,430","49,926","53,286",211,5.3,6.7,191
"Columbus, GA-AL","40,594","43,539","47,349",324,7.3,8.8,44
"Columbus, IN","54,102","57,535","61,136",95,6.3,6.3,256
"Columbus, OH","52,627","56,537","59,867",107,7.4,5.9,299
"Corpus Christi, TX","47,023","48,875","52,612",227,3.9,7.6,115
"Corvallis, OR","47,290","50,628","54,174",192,7.1,7,171
"Crestview-Fort Walton Beach-Destin, FL","56,856","60,205","64,660",64,5.9,7.4,134
"Cumberland, MD-WV","41,971","45,163","47,576",318,7.6,5.3,349
"Dallas-Fort Worth-Arlington, TX","60,053","61,824","66,727",47,2.9,7.9,89
"Dalton, GA","38,282","41,636","44,668",361,8.8,7.3,146
"Danville, IL","40,054","44,975","49,265",291,12.3,9.5,25
"Daphne-Fairhope-Foley, AL","48,380","51,348","54,659",185,6.1,6.4,227
"Davenport-Moline-Rock Island, IA-IL","49,005","52,697","56,181",159,7.5,6.6,207
"Dayton-Kettering, OH","48,913","52,599","55,572",169,7.5,5.7,320
"Decatur, AL","39,731","42,940","46,533",339,8.1,8.4,62
"Decatur, IL","47,492","51,804","56,548",153,9.1,9.2,33
"Deltona-Daytona Beach-Ormond Beach, FL","47,312","49,310","53,559",207,4.2,8.6,51
"Denver-Aurora-Lakewood, CO","68,591","71,728","78,150",16,4.6,9,36
"Des Moines-West Des Moines, IA","55,183","58,725","61,833",88,6.4,5.3,353
"Detroit-Warren-Dearborn, MI","53,428","57,755","60,965",97,8.1,5.6,333
"Dothan, AL","42,868","45,839","49,343",287,6.9,7.6,116
"Dover, DE","44,490","46,542","50,432",271,4.6,8.4,63
"Dubuque, IA","50,370","53,684","56,782",148,6.6,5.8,309
"Duluth, MN-WI","47,006","50,062","53,734",200,6.5,7.3,140
"Durham-Chapel Hill, NC","55,548","58,491","63,375",76,5.3,8.4,64
"East Stroudsburg, PA","45,196","49,469","53,118",219,9.5,7.4,137
"Eau Claire, WI","48,595","51,626","54,814",183,6.2,6.2,271
"El Centro, CA","37,904","45,021","47,653",317,18.8,5.8,302
"Elizabethtown-Fort Knox, KY","43,113","46,540","50,016",277,7.9,7.5,127
"Elkhart-Goshen, IN","45,873","49,321","55,007",179,7.5,11.5,7
"Elmira, NY","45,402","49,108","52,360",231,8.2,6.6,202
"El Paso, TX","37,883","40,763","44,058",369,7.6,8.1,76
"Enid, OK","43,701","44,850","48,861",299,2.6,8.9,37
"Erie, PA","45,883","49,969","52,747",225,8.9,5.6,332
"Eugene-Springfield, OR","46,752","51,272","55,146",176,9.7,7.6,122
"Evansville, IN-KY","49,485","52,939","56,650",150,7,7,169
"Fairbanks, AK","59,011","61,856","65,314",59,4.8,5.6,328
"Fargo, ND-MN","54,323","58,002","62,021",85,6.8,6.9,175
"Farmington, NM","36,599","38,835","41,735",377,6.1,7.5,128
"Fayetteville, NC","38,364","41,563","45,542",347,8.3,9.6,24
"Fayetteville-Springdale-Rogers, AR","64,552","66,213","70,594",32,2.6,6.6,205
"Flagstaff, AZ","49,454","54,008","56,914",143,9.2,5.4,346
"Flint, MI","42,141","46,371","49,399",286,10,6.5,219
"Florence, SC","43,528","46,546","50,386",273,6.9,8.2,71
"Florence-Muscle Shoals, AL","38,390","41,516","44,605",362,8.1,7.4,133
"Fond du Lac, WI","49,996","53,124","56,378",156,6.3,6.1,278
"Fort Collins, CO","56,851","60,219","64,258",69,5.9,6.7,197
"Fort Smith, AR-OK","39,548","41,864","45,134",353,5.9,7.8,100
"Fort Wayne, IN","47,392","50,602","54,623",186,6.8,7.9,88
"Fresno, CA","42,987","48,312","51,422",250,12.4,6.4,230
"Gadsden, AL","37,407","39,795","42,558",376,6.4,6.9,173
"Gainesville, FL","44,323","47,251","50,623",266,6.6,7.1,159
"Gainesville, GA","47,263","49,925","53,920",195,5.6,8,82
"Gettysburg, PA","49,380","52,801","55,752",165,6.9,5.6,329
"Glens Falls, NY","48,193","52,941","56,040",161,9.9,5.9,301
"Goldsboro, NC","42,187","45,415","49,881",279,7.7,9.8,20
"Grand Forks, ND-MN","49,829","54,766","58,295",127,9.9,6.4,228
"Grand Island, NE","44,417","48,123","52,472",230,8.3,9,34
"Grand Junction, CO","46,318","48,884","52,121",238,5.5,6.6,203
"Grand Rapids-Kentwood, MI","50,762","54,794","57,667",138,7.9,5.2,354
"Grants Pass, OR","44,048","49,062","54,466",189,11.4,11,10
"Great Falls, MT","47,303","50,576","53,765",198,6.9,6.3,248
"Greeley, CO","50,117","52,354","56,553",152,4.5,8,81
"Green Bay, WI","52,398","55,365","58,240",130,5.7,5.2,355
"Greensboro-High Point, NC","44,799","47,770","51,872",244,6.6,8.6,53
"Greenville, NC","45,951","49,350","53,200",214,7.4,7.8,102
"Greenville-Anderson, SC","46,017","47,924","50,908",261,4.1,6.2,262
"Gulfport-Biloxi, MS","38,424","41,852","44,488",365,8.9,6.3,249
"Hagerstown-Martinsburg, MD-WV","44,846","47,882","51,102",258,6.8,6.7,192
"Hammond, LA","40,912","44,234","47,076",328,8.1,6.4,232
"Hanford-Corcoran, CA","36,599","41,397","43,176",373,13.1,4.3,379
"Harrisburg-Carlisle, PA","53,645","57,640","60,517",100,7.4,5,359
"Harrisonburg, VA","40,770","43,425","47,217",326,6.5,8.7,46
"Hartford-East Hartford-Middletown, CT","64,078","67,011","69,951",36,4.6,4.4,371
"Hattiesburg, MS","38,676","41,449","44,538",364,7.2,7.5,131
"Hickory-Lenoir-Morganton, NC","41,556","44,678","48,529",305,7.5,8.6,50
"Hilton Head Island-Bluffton, SC","59,860","62,682","66,256",51,4.7,5.7,315
"Hinesville, GA","35,207","38,128","41,012",381,8.3,7.6,121
"Homosassa Springs, FL","39,985","42,292","45,050",355,5.8,6.5,220
"Hot Springs, AR","41,510","44,472","46,897",333,7.1,5.5,342
"Houma-Thibodaux, LA","44,489","46,898","49,613",282,5.4,5.8,308
"Houston-The Woodlands-Sugar Land, TX","60,173","61,133","64,837",62,1.6,6.1,287
"Huntington-Ashland, WV-KY-OH","41,213","44,258","47,505",321,7.4,7.3,139
"Huntsville, AL","51,384","54,577","57,815",136,6.2,5.9,296
"Idaho Falls, ID","48,207","51,985","55,084",178,7.8,6,295
"Indianapolis-Carmel-Anderson, IN","57,156","61,155","65,805",54,7,7.6,119
"Iowa City, IA","55,518","57,345","60,316",102,3.3,5.2,356
"Ithaca, NY","45,232","48,541","51,377",252,7.3,5.8,304
"Jackson, MI","39,775","44,152","47,503",322,11,7.6,120
"Jackson, MS","45,026","48,872","51,982",241,8.5,6.4,241
"Jackson, TN","41,672","44,926","48,718",302,7.8,8.4,57
"Jacksonville, FL","52,086","55,158","59,271",111,5.9,7.5,130
"Jacksonville, NC","44,307","46,972","50,869",264,6,8.3,69
"Janesville-Beloit, WI","45,883","49,129","52,787",224,7.1,7.4,132
"Jefferson City, MO","44,668","48,551","51,286",254,8.7,5.6,322
"Johnson City, TN","41,712","44,767","48,257",308,7.3,7.8,104
"Johnstown, PA","43,120","46,609","49,472",284,8.1,6.1,274
"Jonesboro, AR","38,086","41,439","44,554",363,8.8,7.5,125
"Joplin, MO","39,800","41,646","44,292",367,4.6,6.4,242
"Kahului-Wailuku-Lahaina, HI","52,301","53,586","58,520",118,2.5,9.2,31
"Kalamazoo-Portage, MI","50,835","54,954","58,524",117,8.1,6.5,222
"Kankakee, IL","43,515","47,846","53,165",215,10,11.1,9
"Kansas City, MO-KS","55,300","58,145","61,410",92,5.1,5.6,325
"Kennewick-Richland, WA","45,599","48,979","52,082",239,7.4,6.3,245
"Killeen-Temple, TX","42,265","44,892","47,755",316,6.2,6.4,240
"Kingsport-Bristol, TN-VA","40,968","43,835","47,287",325,7,7.9,95
"Kingston, NY","53,426","57,057","60,557",99,6.8,6.1,276
"Knoxville, TN","48,813","52,083","55,752",165,6.7,7,165
"Kokomo, IN","41,863","44,266","47,031",329,5.7,6.2,260
"La Crosse-Onalaska, WI-MN","51,497","54,701","58,414",122,6.2,6.8,186
"Lafayette, LA","45,588","49,332","52,241",236,8.2,5.9,298
"Lafayette-West Lafayette, IN","41,571","43,955","46,968",330,5.7,6.9,182
"Lake Charles, LA","46,117","47,312","51,080",259,2.6,8,87
"Lake Havasu City-Kingman, AZ","35,647","38,717","41,331",380,8.6,6.8,188
"Lakeland-Winter Haven, FL","38,196","40,970","43,556",370,7.3,6.3,247
"Lancaster, PA","54,061","58,214","61,547",90,7.7,5.7,313
"Lansing-East Lansing, MI","43,178","47,460","50,326",276,9.9,6,289
"Laredo, TX","34,757","37,273","40,850",382,7.2,9.6,23
"Las Cruces, NM","38,142","41,597","45,045",356,9.1,8.3,70
"Las Vegas-Henderson-Paradise, NV","51,012","53,562","58,276",129,5,8.8,42
"Lawrence, KS","46,612","49,290","51,703",246,5.7,4.9,362
"Lawton, OK","42,622","45,515","47,807",313,6.8,5,358
"Lebanon, PA","48,912","52,399","55,803",163,7.1,6.5,223
"Lewiston, ID-WA","45,752","49,378","52,572",228,7.9,6.5,225
"Lewiston-Auburn, ME","42,075","46,144","49,766",281,9.7,7.8,97
"Lexington-Fayette, KY","50,708","54,041","57,519",139,6.6,6.4,231
"Lima, OH","43,618","47,314","50,353",275,8.5,6.4,233
"Lincoln, NE","51,034","53,917","56,887",144,5.6,5.5,337
"Little Rock-North Little Rock-Conway, AR","47,177","50,247","53,158",216,6.5,5.8,307
"Logan, UT-ID","40,666","42,943","46,903",332,5.6,9.2,30
"Longview, TX","44,068","45,896","48,868",298,4.1,6.5,224
"Longview, WA","46,108","49,882","54,550",187,8.2,9.4,28
"Los Angeles-Long Beach-Anaheim, CA","65,006","70,280","75,821",19,8.1,7.9,94
"Louisville/Jefferson County, KY-IN","51,779","55,356","59,425",110,6.9,7.4,138
"Lubbock, TX","45,637","47,822","51,045",260,4.8,6.7,189
"Lynchburg, VA","41,365","44,598","47,374",323,7.8,6.2,263
"Macon-Bibb County, GA","40,676","43,725","46,875",334,7.5,7.2,154
"Madera, CA","39,388","44,072","45,757",345,11.9,3.8,383
"Madison, WI","61,665","64,799","69,116",39,5.1,6.7,201
"Manchester-Nashua, NH","63,263","67,127","71,849",28,6.1,7,167
"Manhattan, KS","46,208","48,885","51,163",256,5.8,4.7,368
"Mankato, MN","47,120","50,632","53,543",208,7.5,5.7,311
"Mansfield, OH","39,903","43,561","46,366",342,9.2,6.4,229
"McAllen-Edinburg-Mission, TX","28,256","31,342","34,503",384,10.9,10.1,17
"Medford, OR","47,774","52,410","56,842",146,9.7,8.5,56
"Memphis, TN-MS-AR","48,680","52,023","56,568",151,6.9,8.7,45
"Merced, CA","38,626","43,980","46,580",337,13.9,5.9,297
"Miami-Fort Lauderdale-Pompano Beach, FL","63,610","66,307","73,522",21,4.2,10.9,11
"Michigan City-La Porte, IN","42,076","45,323","49,508",283,7.7,9.2,29
"Midland, MI","54,951","58,544","62,055",84,6.5,6,293
"Midland, TX","141,994","109,263","125,455",3,-23.1,14.8,1
"Milwaukee-Waukesha, WI","58,192","61,378","65,803",55,5.5,7.2,153
"Minneapolis-St. Paul-Bloomington, MN-WI","64,496","67,688","71,912",27,4.9,6.2,261
"Missoula, MT","53,992","57,895","61,881",87,7.2,6.9,180
"Mobile, AL","39,416","42,795","46,402",341,8.6,8.4,58
"Modesto, CA","43,729","49,128","52,356",232,12.3,6.6,215
"Monroe, LA","39,956","43,606","46,859",335,9.1,7.5,129
"Monroe, MI","47,726","50,472","53,509",209,5.8,6,290
"Montgomery, AL","43,084","46,139","49,310",289,7.1,6.9,181
"Morgantown, WV","45,465","47,467","50,016",277,4.4,5.4,347
"Morristown, TN","38,103","41,036","44,279",368,7.7,7.9,93
"Mount Vernon-Anacortes, WA","54,843","58,996","64,093",72,7.6,8.6,48
